Артикул;Название;Номенклaтурa;Баркод;ТМ;Статус;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;26-February-03-March;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;04-March-10-March;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;11-March-17-March;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;18-March-24-March;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;25-March-31-March;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;01-April-07-April;08-April-2024;   ;Остаток;Остаток fbs;Цена;Цена до скидки;Наценка;Остаток на РЦ;Остаток РЦ Иркутск;В резерве;Выручка;Доля выручки;Итого наценка;Спринт озон;Спринт вб;IDC;Оценка IDC;1;                              ;Рыночная цена конкурентов, руб.;Моя цена на других площадках, руб.;Индекс цен;Ценовой индекс товара на Ozon;Ценовой индекс товара на рынке;Ценовой индекс товара на рынке на мои товары;Ссылка на рыночную цену конкурентов;Средняя прибыль за период  10 последних дней;Средняя прибыль;Взвешенная средняя прибыль;Категория за прошлый день;Категории товров по прибыли;Разница категрий;Хиты. Без ограничения срока действия Цена;Хиты. Без ограничения срока действия Наценка;СуперХиты. Без ограничения срока действия Цена;СуперХиты. Без ограничения срока действия Наценка;СуперХиты со скидкой на комиссию - 5%.Без ограничения срока действия Цена;СуперХиты со скидкой на комиссию - 5%.Без ограничения срока действия Наценка; МегаХиты. Без ограничения срока действия Цена; МегаХиты. Без ограничения срока действия Наценка;МегаХиты со скидкой на комиссию - 5%. Без ограничения срока действия Цена;МегаХиты со скидкой на комиссию - 5%. Без ограничения срока действия Наценка;Категория;turnover;Наценка_fbs;Разница в цене предыдущего дня;Стандартное отклонение цен за последние 7 дней;Стандартное отклонение цен за последние 3 дня;Отличие максимальной цены от минимальной за 3 дня;прибыль с единицы товара;Moscow_warehouses;Шушары 8.11;Адыгейск 13.11;Пушкино 13.11;Софьино 13.11;Екат 16.11;Самара;Шушары 23.11;Склад Химки (FBS обычные товары);Склад Иркутск;ПСР
16801;Чехол книжка-подставка Smart Case для iPad 9.7, черный;149314846;7432141949918;SS&Y Group;отказ;0;1;2;0;1;0;2;0;0;0;1;1;0;4;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;0.0;623.0;2996.0;38.8;3.0;;;0.0;0.0;;;;0.0;Высокая;;;0.0;0.0;;0.0;0.0;0.0;;205.0;440.0;0.07542654568705869;3.0;3.0;;836.0;84.83;792.0;75.32;747.0;65.6;747.0;65.6;703.0;56.09;;;29.95;;132.13;;;94.56;;;;;;;;;0.0;0.0;0.0
16802;Чехол книжка-подставка Smart Case для iPad 9.7, синий;149314842;7432141949925;SS&Y Group;отказ;1;4;2;1;1;1;1;1;1;1;0;0;3;7;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;0.0;608.0;2996.0;37.22;4.0;;;0.0;0.0;;;;0.0;Высокая;;;0.0;0.0;;0.0;0.0;0.0;;0.0;265.0;0.0454273513797058;3.0;3.0;;816.0;82.17;773.0;72.87;0.0;-94.21;729.0;63.36;0.0;-94.21;Miscellaneous accessories;;28.7;;129.16;;;90.7;;;;;;;;;0.0;0.0;0.0
16803;Чехол книжка-подставка Smart Case для iPad 9.7, красный;149314896;7432141949932;SS&Y Group;отказ;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;0.0;585.0;2996.0;32.69;4.0;;2.0;0.0;0.0;;;;0.0;Высокая;;;0.0;0.0;;0.0;0.0;0.0;;106.0;216.0;0.037027576973647;3.0;3.0;;;;;;;;;;;;Miscellaneous accessories;;24.27;;124.21;;;79.66;;;;;;;;;0.0;0.0;0.0
16804;Чехол книжка-подставка Smart Case для iPad 9.7, коричневый;152870959;7432141550639;SS&Y Group;архив;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;0.0;722.0;2996.0;59.67;0.0;;;0.0;0.0;;;;0.0;Высокая;;;0.0;0.0;;0.0;0.0;0.0;;0.0;133.0;0.0227993876735882;3.0;3.0;;;;;;;;;;;;Miscellaneous accessories;;50.69;;23.26;;;145.42;;;;;;;;;0.0;0.0;0.0
16920;Нож канцелярский металлический;676347909;4685453947735;Parchment;текущий;19;4;7;5;3;3;3;7;2;1;3;0;1;17;3;1;1;9;4;1;4;23;1;3;1;0;0;2;2;9;1;1;1;5;1;2;0;11;0;0;0;0;0;1;1;2;1;0;1;0;1;0;1;4;1;   ;514;0.0;232.0;1010.0;114.47;0.0;;;232.0;0.009015240419364115;;;;76.37;Средняя;1.0;;0.0;0.0;;0.0;0.0;0.0;;1468.0;591.0;0.1013115647751175;3.0;3.0;;225.0;105.16;224.0;103.83;0.0;-194.4;218.0;95.84;0.0;-194.4;School&Stationery&Equipment;1028.0;76.4;;;;;48.75;0.0;;;500.0;;300.0;500.0;;0.0;0.0;0.0
16930;Разделители для ящиков, 2шт;676342832;4672466343999;Birdhouse;текущий;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;3;0;1;2;7;2;0;0;0;1;2;2;7;1;0;0;1;0;0;2;4;3;1;2;0;3;2;3;14;2;7;0;4;2;1;3;19;0;   ;143;43.0;876.0;1999.0;40.46;607.0;13.0;1.0;0.0;0.0;;;;220.0;Критическая;1.0;;664.0;664.0;Невыгодный;0.0;1.08;1.08;https://wildberries.ru/catalog/117918228/detail.aspx;3404.0;1114.0;0.1909662997622349;3.0;3.0;;841.0;35.32;818.0;31.94;794.0;28.41;794.0;28.41;743.0;20.91;Household;66.73;35.01;;;;;152.28;11.0;;;;;;;;42.0;1.0;0.0
16931;Полка раздвижная, белый;988609974;4638626378577;Birdhouse;текущий Дарья;2;2;2;3;14;3;8;1;4;3;8;17;17;58;11;18;14;8;7;25;21;104;12;18;8;16;12;19;11;96;9;7;15;16;8;10;13;78;13;7;25;14;10;18;14;101;12;12;11;6;13;13;8;75;6;   ;435;115.0;584.0;1010.0;84.67;1155.0;405.0;3.0;3504.0;0.13616121736832698;;ТЗ 21 (5.09-14.09);;55.33;Средняя;;;385.0;385.0;Невыгодный;0.0;1.14;1.14;https://wildberries.ru/catalog/161844535/detail.aspx;908.0;1338.0;0.2293652684756466;2.0;2.0;;566.0;78.73;566.0;78.73;0.0;-108.26;565.0;78.4;0.0;-108.26;;36.04;73.32;;;;;138.44;97.0;;;;;;;;82.0;33.0;0.0
16932;Полка раздвижная, серый;988610660;4638730558797;Birdhouse;текущий Дарья;13;12;17;8;15;20;16;12;10;7;10;12;11;78;10;10;7;8;3;12;13;63;11;9;13;7;9;6;1;56;8;5;3;7;2;3;5;33;8;4;11;5;11;3;2;44;8;4;5;7;2;7;10;43;0;   ;764;29.0;590.0;1010.0;82.6;5.0;387.0;1.0;0.0;0.0;;ТЗ 21 (5.09-14.09);;87.51;Средняя;;;415.0;415.0;Невыгодный;0.0;1.08;1.08;https://wildberries.ru/catalog/161844536/detail.aspx;2302.0;2283.0;0.3913609177353523;2.0;2.0;;560.0;73.02;545.0;68.23;531.0;63.76;531.0;63.76;0.0;-105.87;;135.39;71.6;;;;;139.67;159.0;;;;;;;;0.0;29.0;0.0
16950;Подсвечники золотые;676349046;4626938243751;Birdhouse;сезонка;16;6;13;13;2;1;5;7;2;3;13;10;5;45;2;0;2;0;2;0;0;6;0;0;0;0;1;2;1;4;0;3;0;0;1;1;3;8;1;0;0;0;0;1;0;2;1;2;3;1;2;3;1;13;3;   ;1124;6.0;1270.0;5599.0;35.76;708.0;87.0;;3810.0;0.14805200861110895;;;;429.01;Критическая;1.0;;808.0;808.0;Невыгодный;0.0;1.16;1.16;https://wildberries.ru/catalog/117920053/detail.aspx;461.0;1405.0;0.240850674296176;2.0;2.0;;1739.0;79.86;1640.0;70.55;1542.0;61.34;1542.0;61.34;1443.0;52.03;Household;925.65;31.83;;;;;210.47;44.0;;;;;;;;0.0;6.0;0.0
16951;Подсвечники черные;884362371;4642656711822;Birdhouse;сезонка;5;2;10;9;1;0;5;3;1;1;1;5;4;20;1;1;0;1;0;0;0;3;0;1;1;0;0;4;0;6;1;0;2;0;0;0;0;3;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;4;2;   ;710;13.0;1090.0;3200.0;18.85;175.0;8.0;;2180.0;0.08471217290609384;;ТЗ 10 (10.07-19.07);;390.11;Критическая;;;801.0;801.0;Невыгодный;0.0;1.2;1.2;https://wildberries.ru/catalog/150256409/detail.aspx;298.0;294.0;0.05039864643635285;3.0;3.0;;1419.0;49.41;1381.0;45.88;1343.0;42.35;1343.0;42.35;1306.0;38.91;;1420.0;15.17;;;;;112.29;57.0;;;;;;;;12.0;1.0;0.0
