Артикул;Наименование;Номенклатура;Баркод;ТМ;Статус;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;26-February-03-March;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;04-March-10-March;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;11-March-17-March;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;18-March-24-March;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;25-March-31-March;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;01-April-07-April;08-April-2024;     ;Остаток;Остатки FBS;Цена;Цена до скидки;Наценка;Остаток на РЦ;Остаток РЦ Иркутск;В резерве;                                  ;Остаток в Невинномысске;Наценка_Невинномысск_монопалета;Остаток в Екатеринбург - Испытателей 14г;Остаток в Екатеринбург - Перспективный 12;Остаток в Новосибирске;          ;Стоимость логистики;Выручка;Доля выручки;Итого наценка;Цена_Товары для акции_Распродажа неходового товара_идет;Наценка_Товары для акции_Распродажа неходового товара_идет;Цена_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Наценка_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Спринт вб;Спринт озон;Новый баркод;Разница в цене предыдущего дня;Стандартное отклонение цен за последние 7 дней;Стандартное отклонение цен за последние 3 дня;Отличие максимальной цены от минимальной за 3 дня;Склад_Иркутск;Склад_Омск;ПСР;Склад_Поставщик_Химки;статус рекламы;прибыль с единицы товара;Коледино 10.11;Электросталь 3.11;Екатеринбург 20.11;Екат доп;Краснодар 13.11;Шушары 8.11
16000;Гель для рук антисептический с витамином Е, 66% спирта, 125 мл;11922227.0;4627180760348.0;SANITEX;архив;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;51.0;1024.0;-inf;0.0;;;;0.0;-inf;;;;;54.0;0.0;0.0;;;;;;;;;;;;;0.0;;;0.0;;-11.15;;;;;;
16801;Чехол книжка-подставка Smart Case для iPad 9.7, черный;8455567.0;7432141949918.0;SS&Y Group;отказ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;594.0;5940.0;37.34;3.0;;;;0.0;37.75;;;;;54.0;0.0;0.0;;;;666.0;51.74;;;;;126.19;;;0.0;;;0.0;;91.0;;;;;;
16802;Чехол книжка-подставка Smart Case для iPad 9.7, синий;8455568.0;7432141949925.0;SS&Y Group;отказ;0;0;0;1;1;0;0;0;3;1;0;1;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;483.0;2300.0;15.14;4.0;;;;0.0;15.55;;;;;54.0;0.0;0.0;;;;;;;;;;102.44;;;0.0;;;0.0;;36.91;;;;;;
16803;Чехол книжка-подставка Smart Case для iPad 9.7, красный;8455569.0;7432141949932.0;SS&Y Group;отказ;2;0;0;1;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;503.0;3144.0;19.14;4.0;;2.0;;0.0;19.55;;;;;54.0;0.0;0.0;;;;683.0;55.14;;;;;106.89;;;0.0;;;0.0;;46.66;;;;;;
16804;Чехол книжка-подставка Smart Case для iPad 9.7, коричневый;8455570.0;7432141550639.0;SS&Y Group;архив;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;804.0;4236.0;79.33;0.0;;;;0.0;79.74;;;;;54.0;0.0;0.0;;;;;;;;;;;;;0.0;;;0.0;;193.34;;;;;;
16920;Нож канцелярский металлический;117917054.0;7432141950346.0;Parchment;текущий;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;330.0;2063.0;267.73;0.0;;;;0.0;270.08;;;;;54.0;0.0;0.0;;;;;;;;4685453947735.0;;;;;0.0;;;0.0;;114.03;;;;;;
16930;Разделители для ящиков, 2шт;117918228.0;7432141950349.0;Birdhouse;текущий;1;0;0;1;0;0;0;0;0;2;0;1;1;4;1;0;0;2;1;1;0;5;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;5;1;0;0;0;0;0;0;1;1;1;2;0;4;1;0;9;3;     ;455;43.0;778.0;1198.0;32.78;607.0;13.0;1.0;;0.0;33.05;0.0;144.0;44.0;;54.0;2334.0;0.1083222489443918;;;;739.0;27.32;;;4672466343999.0;;;;;1.0;;0.0;42.0;;123.37;;;;;;
16931;Полка раздвижная, белый;161844535.0;4638626378577.0;Birdhouse;текущий Дарья;1;3;2;1;5;5;7;7;1;1;5;5;7;33;2;3;0;1;2;3;5;16;1;1;0;2;14;10;12;40;10;5;5;9;9;2;5;45;2;4;2;5;3;4;5;25;4;3;4;4;2;3;5;25;9;     ;443;109.0;490.0;778.0;58.22;1155.0;405.0;3.0;;0.0;63.97;0.0;114.0;0.0;;66.60000000000001;4410.0;0.20467057319827242;;;;449.0;45.5;;ТЗ 21 (5.09-14.09);;;;;;28.0;;0.0;81.0;;95.19;;;;;;
16932;Полка раздвижная, серый;161844536.0;4638730558797.0;Birdhouse;текущий Дарья;2;5;2;2;3;4;2;0;2;1;1;3;3;12;0;2;1;3;1;1;0;8;0;2;0;4;1;3;3;13;0;2;1;1;2;0;2;8;3;0;0;0;1;1;1;6;0;0;0;1;0;1;2;4;0;     ;302;27.0;529.0;679.0;65.79;5.0;387.0;1.0;;0.0;71.35;;;;;66.60000000000001;0.0;0.0;;;;483.0;51.99;;ТЗ 21 (5.09-14.09);;;;;;27.0;;0.0;0.0;;111.25;;;;;;
16950;Подсвечники золотые;117920053.0;7432141950355.0;Birdhouse;сезонка;2;2;0;4;3;0;0;3;3;0;0;3;0;9;1;3;0;0;0;0;0;4;1;3;1;0;0;1;0;6;1;0;0;0;1;0;0;2;1;0;0;1;0;1;1;4;0;0;1;0;0;1;0;2;0;     ;1020;56.0;1029.0;2395.0;14.24;708.0;87.0;;;0.0;17.26;85.0;0.0;75.0;;79.2;0.0;0.0;;;;977.0;9.69;;;4626938243751.0;;;;;6.0;;0.0;50.0;активна;83.78;;;;;;
16951;Подсвечники черные;150256409.0;7432141950356.0;Birdhouse;сезонка;1;0;0;1;3;0;0;1;0;0;1;0;0;2;1;0;1;0;0;0;1;3;1;1;0;0;0;0;0;2;0;0;0;0;14;0;0;14;1;0;0;0;1;0;0;2;2;0;0;0;0;0;0;2;0;     ;469;13.0;1020.0;2374.0;12.48;175.0;8.0;;;0.0;15.47;55.0;0.0;69.0;;79.2;0.0;0.0;;;;969.0;8.08;;ТЗ 10 (10.07-19.07);4642656711822.0;;;;;1.0;;0.0;12.0;;74.35;;;;;;
