Артикул;Наименование;Номенклатура;Баркод;ТМ;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;08-April-2024;Остаток;Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения;Себестоимость;Цена до скидки;Скидка;Цена;Комиссия в рублях;НДС;Налог на прибыль;Налог;Прибыль;Наценка;Процент налога
16801;Чехол книжка-подставка Smart Case для iPad 9.7, черный;8455567;7432141949918;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для планшетов;23;54.0;0.32;243.71;5940.0;90.0;594;154.44;23.641666666666673;22.750666666666664;46.39233333333334;91.00266666666663;37.34;7.8101571268237935
16802;Чехол книжка-подставка Smart Case для iPad 9.7, синий;8455568;7432141949925;SS&Y Group;0;0;0;1;1;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для планшетов;23;54.0;0.32;243.71;2300.0;79.0;483;125.58;9.951666666666673;9.227166666666665;19.178833333333337;36.908666666666655;15.14;3.970772946859904
16803;Чехол книжка-подставка Smart Case для iPad 9.7, красный;8455569;7432141949932;SS&Y Group;2;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для планшетов;23;54.0;0.32;243.71;3144.0;84.0;503;130.78;12.418333333333331;11.663833333333326;24.08216666666666;46.6553333333333;19.14;4.7877070907886
16804;Чехол книжка-подставка Smart Case для iPad 9.7, коричневый;8455570;7432141550639;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для планшетов;23;54.0;0.32;243.71;4236.0;81.0;804;209.03999999999996;49.54166666666669;48.335666666666675;97.87733333333337;193.34266666666664;79.33;12.173797678275296
18301;Чехол для airpods 2 с карабином, белый;7490270;7432141649603;SS&Y Group;1;3;1;0;2;3;2;3;1;4;3;4;2;0;0;2;3;1;2;1;1;2;1;0;2;1;0;3;3;1;2;1;2;0;1;3;1;1;1;2;2;1;2;2;2;3;5;7;4;615;Чехлы для наушников;23;54.0;0.32;50.42;1150.0;90.0;115;29.9;-3.2200000000000024;-3.3925000000000005;-6.6125000000000025;-13.569999999999999;-26.91;-5.750000000000002
18304;Чехол для airpods 2 с карабином, розовый;7490271;7432141649658;SS&Y Group;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;50.42;1400.0;91.0;126;32.76;-1.8633333333333324;-2.052333333333333;-3.9156666666666653;-8.209333333333335;-16.28;-3.1076719576719567
18305;Чехол для airpods 2 с карабином, желтый;8451803;7432141649665;SS&Y Group;2;1;0;2;3;2;1;3;2;1;6;4;0;1;2;4;3;3;1;7;2;1;1;2;2;2;1;1;1;0;0;2;1;1;0;1;0;0;1;1;3;0;0;1;1;2;3;2;0;181;Чехлы для наушников;23;54.0;0.32;50.49;1657.0;93.0;115;29.9;-3.231666666666669;-3.404166666666668;-6.635833333333338;-13.61666666666667;-26.97;-5.770289855072467
18306;Чехол для airpods 2 с карабином, коралловый;7490272;7432141649672;SS&Y Group;1;1;1;1;1;0;3;3;3;3;1;4;1;2;3;3;1;1;2;0;0;3;0;1;1;0;0;1;0;0;0;2;0;0;0;0;1;1;1;3;1;0;0;1;1;4;6;6;4;0;Чехлы для наушников;23;54.0;0.32;47.96;1389.0;91.0;125;32.5;-1.576666666666667;-1.764166666666668;-3.340833333333335;-7.056666666666673;-14.71;-2.672666666666668
18307;Чехол для airpods 2 с карабином, сиреневый;7490273;7432141649689;SS&Y Group;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;34.27;1313.0;92.0;105;27.3;-1.7616666666666703;-1.9191666666666674;-3.6808333333333376;-7.676666666666669;-22.4;-3.5055555555555595
18308;Чехол для airpods 2 с карабином, голубой;7490274;7432141050058;SS&Y Group;4;1;2;3;3;6;3;2;2;1;1;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;Чехлы для наушников;23;54.0;0.32;45.37;1613.0;92.0;129;33.54;-0.6516666666666691;-0.8451666666666681;-1.496833333333337;-3.3806666666666665;-7.45;-1.1603359173126644
