Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения
Вставки в монтажную головку;17;473.0;0.7
Ремкомплекты автомобильные;17;96.0;0.11
Автохолодильники;17;1260.0;1.12
Датчик температуры головки цилиндров;17;114.0;0.17
Перегородки защитные автомобильные;17;79.0;0.06
Масла моторные;17;96.0;0.11
Брелоки - размораживатели замков;17;114.0;0.17
Автобаферы;17;114.0;0.17
Накладки на педали;17;79.0;0.06
Органайзеры в багажник;17;592.0;0.7
Защита картера;17;775.0;1.12
Корпуса ключей зажигания;17;79.0;0.06
Стойки стабилизатора;17;114.0;0.17
Накладки на ремень безопасности;17;96.0;0.11
Упоры противооткатные;17;114.0;0.26
Ступицы;17;114.0;0.17
Масла трансмиссионные;17;114.0;0.17
Крепления для багажника;17;114.0;0.17
Прокладки выхлопной трубы;17;114.0;0.26
Ремни безопасности;17;79.0;0.06
Ящики навесные для прицепов;17;473.0;0.47
Опорные стойки для прицепов;17;473.0;0.47
Блоки зажигания снегохода;17;114.0;0.17
Пленки защитные;17;114.0;0.17
Сцепления в сборе;17;473.0;0.47
Вибропоглощающий материал для авто;17;473.0;0.47
Опоры стоек;17;114.0;0.17
Кулачки механизма ручного стартера;17;114.0;0.17
Накидки магнитные для авто;17;96.0;0.11
Колесоотбойники;17;473.0;0.7
Теплоизоляционный материал для авто;17;473.0;0.47
Установка для замены масла;17;114.0;0.17
Подстаканники электрические;17;96.0;0.11
Датчики расхода воздуха;17;114.0;0.17
Коньки для лыж снегохода;17;114.0;0.17
Паронитовые прокладки;17;114.0;0.17
Блоки согласования фаркопов;17;114.0;0.17
Прокладки маслоохладителя;17;79.0;0.09
Датчики кислорода;17;114.0;0.17
Разветвители прикуривателя;17;96.0;0.11
Комплекты электрики для фаркопов;17;79.0;0.06
Колодки для мотоциклов;17;114.0;0.17
Склизы для снегоходов;17;473.0;0.47
Камеры автомобильные для шин;17;114.0;0.17
Масленки для смазки;17;96.0;0.11
Тестеры тормозной жидкости;17;96.0;0.11
Шипы ремонтные;17;114.0;0.17
Предохранители автомобильные;17;114.0;0.17
Дорожные туалеты;17;114.0;0.17
Болты вариатора;17;114.0;0.17
Рули автомобильные;17;473.0;0.47
Блоки управления стеклоподъемниками;17;114.0;0.17
Ремни вариатора;17;114.0;0.17
Автохимия;17;96.0;0.11
Звукоизоляционный материал для авто;17;473.0;0.47
Клеммы для аккумуляторов;17;114.0;0.17
Датчики уровня топлива;17;96.0;0.11
Велобагажники на авто;17;592.0;0.7
Обложки для автодокументов;17;96.0;0.11
Заглушки ремня безопасности;17;96.0;0.11
Шины автомобильные;17;775.0;1.12
Защита радиатора;17;473.0;0.47
Другие автоаксессуары;17;114.0;0.17
Противоугонные системы;17;96.0;0.11
Автомобильные антенны;17;79.0;0.06
Модули зажигания;17;114.0;0.26
Датчики давления;17;96.0;0.11
Компрессоры автомобильные;17;473.0;0.47
Тросы КПП;17;114.0;0.26
Колпачки для шин;17;96.0;0.17
